id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
1093,Human Experiments,Gregory Goodell,Stany Zjednoczone,f,01:22:00,1979,t
1094,Il cacciatore di taglie,Buzz Kulik,Stany Zjednoczone,f,01:37:00,1980,t
1095,Rock machine,Taylor Hackford,Stany Zjednoczone,f,01:57:00,1980,t
1096,Galaxy Express 999 - The Movie,Rintaro,Japonia,f,02:09:00,1979,f
1097,Jishin rettô,Kenjirô Ohmori,Japonia,f,02:06:00,1980,f
1098,Manganinnie,John Honey,Australia,f,01:30:00,1980,f
1099,Kiss Me First,,Japonia,t,,2018,f
1100,Il detective con la faccia di Bogart,Robert Day,Stany Zjednoczone,f,01:46:00,1980,t
1101,Maniac,William Lustig,Stany Zjednoczone,f,01:27:00,1980,t
1102,Harry e Carota,Dan Curtis,Stany Zjednoczone,f,01:34:00,1993,t
1103,Mother's Day,Charles Kaufman,Stany Zjednoczone,f,01:31:00,1980,t
1104,Fort Bronx,"Robert Butler, Sidney J. Furie",Stany Zjednoczone,f,01:41:00,1980,t
1105,Nijinsky,Herbert Ross,Stany Zjednoczone,f,02:09:00,1980,t
1106,The Nude Bomb,Clive Donner,Stany Zjednoczone,f,01:34:00,1980,f
1107,Loophole,John Quested,Wielka Brytania,f,01:45:00,1981,t
1108,Madicken på Junibacken,Göran Graffman,Szwecja,f,01:22:00,1980,t
1109,Squilli di morte,Michael Anderson,Kanada,f,01:35:00,1982,t
1110,Mon oncle d'Amérique,Alain Resnais,Francja,f,02:05:00,1980,t
1111,Il ventaglio bianco,Jackie Chan,Hong Kong,f,01:45:00,1980,t
1112,Popeye - Braccio di ferro,Robert Altman,Stany Zjednoczone,f,01:54:00,1980,t
1113,Toro scatenato,Martin Scorsese,Stany Zjednoczone,f,02:09:00,1980,t
1114,Taglio di diamanti,"Don Siegel, Peter R. Hunt",Stany Zjednoczone,f,01:52:00,1980,t
1115,Fuga per la vita,Paul Glickler,Stany Zjednoczone,f,01:36:00,1980,f
1116,Fobia,John Huston,Kanada,f,01:34:00,1980,t
1117,Scanners,David Cronenberg,Kanada,f,01:43:00,1981,t
1118,Professione pericolo,Richard Rush,Stany Zjednoczone,f,02:11:00,1980,t
1119,Tuck Everlasting,Frederick King Keller,Stany Zjednoczone,f,01:30:00,1981,f
1120,Urban Cowboy,James Bridges,Stany Zjednoczone,f,02:12:00,1980,f
1121,Union City,Marcus Reichert,Stany Zjednoczone,f,01:27:00,1980,t
1122,Trhauma,Gianni Martucci,Wlochy,f,01:12:00,1980,f
1123,L'uomo puma,Alberto De Martino,Wlochy,f,01:30:00,1980,t
1124,Trollsommar,Hans Dahlberg,Szwecja,f,01:25:00,1980,t
1125,Terra e...,Hideo Onchi,Japonia,f,01:53:00,1980,t
1126,Xi gan xian,Fung Wong,Hong Kong,f,01:23:00,1980,t
1127,Ai sha,Patrick Tam,Hong Kong,f,01:31:00,1981,f
1128,"Io, Willie e Phil",Paul Mazursky,Stany Zjednoczone,f,01:55:00,1980,t
1129,The Wizard of Speed and Time,Mike Jittlov,Stany Zjednoczone,f,01:35:00,1988,f
1130,Diritto di cronaca,Sydney Pollack,Stany Zjednoczone,f,01:56:00,1981,t
1131,All Night Long,Jean-Claude Tramont,Stany Zjednoczone,f,01:27:00,1981,t
1132,American Pop,Ralph Bakshi,Stany Zjednoczone,f,01:36:00,1981,t
1133,Back Roads,Martin Ritt,Stany Zjednoczone,f,01:34:00,1981,t
1134,Spiaggia di sangue,Jeffrey Bloom,Stany Zjednoczone,f,01:32:00,1980,t
1135,Blow Out,Brian De Palma,Stany Zjednoczone,f,01:48:00,1981,t
1136,The Boogens,James L. Conway,Stany Zjednoczone,f,01:35:00,1981,t
1137,Attacco: piattaforma Jennifer,Andrew V. McLaglen,Wielka Brytania,f,01:40:00,1980,t
1138,Il bel matrimonio,Éric Rohmer,Francja,f,01:33:00,1982,t
1139,Il tempo delle mele,Claude Pinoteau,Francja,f,01:50:00,1980,t
1140,Los últimos golpes de 'El Torete',José Antonio de la Loma,Hiszpania,f,01:36:00,1980,t
